"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 17:45:31 GMT 2021","Thu Dec 23 17:45:31 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 17:45:34 GMT 2021","Thu Dec 23 17:45:34 GMT 2021","113","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 17:45:31 GMT 2021","Thu Dec 23 17:45:31 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 17:45:35 GMT 2021","Thu Dec 23 17:45:35 GMT 2021","287","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","4","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 17:45:39 GMT 2021","Thu Dec 23 17:45:39 GMT 2021","311","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","4","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 17:45:35 GMT 2021","Thu Dec 23 17:45:35 GMT 2021","14","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Thu Dec 23 17:45:39 GMT 2021","Thu Dec 23 17:45:39 GMT 2021","1","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 17:45:35 GMT 2021","Thu Dec 23 17:45:35 GMT 2021","28","Regression Suite","Chrome Test","TestRest","TestRest","test_put_user_object","json-server users",""
"passed","Thu Dec 23 17:45:31 GMT 2021","Thu Dec 23 17:45:31 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 17:45:36 GMT 2021","Thu Dec 23 17:45:38 GMT 2021","2410","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Thu Dec 23 17:45:36 GMT 2021","Thu Dec 23 17:45:36 GMT 2021","1","Regression Suite","Chrome Test","TestWait","TestWait","test1","test1",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 17:45:39 GMT 2021","Thu Dec 23 17:45:39 GMT 2021","29","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Thu Dec 23 17:45:35 GMT 2021","Thu Dec 23 17:45:35 GMT 2021","344","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 17:45:31 GMT 2021","Thu Dec 23 17:45:31 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 17:45:31 GMT 2021","Thu Dec 23 17:45:31 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 17:45:39 GMT 2021","Thu Dec 23 17:45:39 GMT 2021","24","Regression Suite","Chrome Test","TestHome","TestHome","testJQuery","testJQuery",""
"passed","Thu Dec 23 17:45:34 GMT 2021","Thu Dec 23 17:45:35 GMT 2021","320","Regression Suite","Chrome Test","TestRest","TestRest","test_patch_user","test_patch_user",""
"passed","Thu Dec 23 17:45:33 GMT 2021","Thu Dec 23 17:45:33 GMT 2021","261","Regression Suite","Chrome Test","TestRest","TestRest","test_get_method_no_body","json-server users",""
"passed","Thu Dec 23 17:45:33 GMT 2021","Thu Dec 23 17:45:34 GMT 2021","885","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 17:45:30 GMT 2021","Thu Dec 23 17:45:30 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
