"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Sun Dec 26 16:20:21 GMT 2021","Sun Dec 26 16:20:21 GMT 2021","29","Regression Suite","Chrome Test","TestRest","TestRest","test_put_user_object","json-server users",""
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Sun Dec 26 16:20:15 GMT 2021","Sun Dec 26 16:20:15 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Sun Dec 26 16:20:19 GMT 2021","Sun Dec 26 16:20:20 GMT 2021","571","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Sun Dec 26 16:20:15 GMT 2021","Sun Dec 26 16:20:15 GMT 2021","15","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Sun Dec 26 16:20:16 GMT 2021","Sun Dec 26 16:20:16 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Sun Dec 26 16:20:25 GMT 2021","Sun Dec 26 16:20:25 GMT 2021","1","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
