"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 13:31:55 GMT 2021","Thu Dec 23 13:31:55 GMT 2021","203","Regression Suite","Chrome Test","TestRest","TestRest","test_get_method_no_body","json-server users",""
"passed","Thu Dec 23 13:32:01 GMT 2021","Thu Dec 23 13:32:01 GMT 2021","50","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Thu Dec 23 13:31:58 GMT 2021","Thu Dec 23 13:32:00 GMT 2021","2430","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 13:31:54 GMT 2021","Thu Dec 23 13:31:55 GMT 2021","1250","Regression Suite","Chrome Test","TestRest","TestRest","test_delete_user","test_delete_user",""
"passed","Thu Dec 23 13:31:56 GMT 2021","Thu Dec 23 13:31:56 GMT 2021","153","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","2","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 13:31:58 GMT 2021","Thu Dec 23 13:31:58 GMT 2021","0","Regression Suite","Chrome Test","TestWait","TestWait","test1","test1",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 13:31:56 GMT 2021","Thu Dec 23 13:31:57 GMT 2021","361","Regression Suite","Chrome Test","TestRest","TestRest","test_patch_user","test_patch_user",""
"passed","Thu Dec 23 13:31:56 GMT 2021","Thu Dec 23 13:31:56 GMT 2021","253","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Thu Dec 23 13:31:55 GMT 2021","Thu Dec 23 13:31:56 GMT 2021","548","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 13:31:57 GMT 2021","Thu Dec 23 13:31:57 GMT 2021","431","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","2","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 13:31:57 GMT 2021","Thu Dec 23 13:31:58 GMT 2021","467","Regression Suite","Chrome Test","TestRest","TestRest","test_resolve_vars","test_resolve_vars",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 13:31:57 GMT 2021","Thu Dec 23 13:31:57 GMT 2021","25","Regression Suite","Chrome Test","TestRest","TestRest","test_put_user_object","json-server users",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 13:31:57 GMT 2021","Thu Dec 23 13:31:57 GMT 2021","34","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 13:32:01 GMT 2021","Thu Dec 23 13:32:01 GMT 2021","322","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","5","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 13:32:01 GMT 2021","Thu Dec 23 13:32:01 GMT 2021","28","Regression Suite","Chrome Test","TestHome","TestHome","testJQuery","testJQuery",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Thu Dec 23 13:32:01 GMT 2021","Thu Dec 23 13:32:01 GMT 2021","0","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","2","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 13:31:57 GMT 2021","Thu Dec 23 13:31:57 GMT 2021","275","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 13:31:53 GMT 2021","Thu Dec 23 13:31:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","test1","test1",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","14","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 13:31:52 GMT 2021","Thu Dec 23 13:31:52 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
