"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 13:08:54 GMT 2021","Thu Dec 23 13:08:54 GMT 2021","430","Regression Suite","Chrome Test","TestRest","TestRest","test_patch_user","test_patch_user",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 13:08:52 GMT 2021","Thu Dec 23 13:08:53 GMT 2021","923","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 13:08:55 GMT 2021","Thu Dec 23 13:08:55 GMT 2021","524","Regression Suite","Chrome Test","TestRest","TestRest","test_resolve_vars","test_resolve_vars",""
"passed","Thu Dec 23 13:08:55 GMT 2021","Thu Dec 23 13:08:55 GMT 2021","3","Regression Suite","Chrome Test","TestWait","TestWait","test1","test1",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 13:08:53 GMT 2021","Thu Dec 23 13:08:53 GMT 2021","537","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Thu Dec 23 13:08:55 GMT 2021","Thu Dec 23 13:08:58 GMT 2021","2406","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Thu Dec 23 13:08:48 GMT 2021","Thu Dec 23 13:08:48 GMT 2021","2","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 13:08:58 GMT 2021","Thu Dec 23 13:08:58 GMT 2021","32","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Thu Dec 23 13:08:48 GMT 2021","Thu Dec 23 13:08:48 GMT 2021","1","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 13:08:48 GMT 2021","Thu Dec 23 13:08:48 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 13:08:53 GMT 2021","Thu Dec 23 13:08:54 GMT 2021","459","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 13:08:48 GMT 2021","Thu Dec 23 13:08:48 GMT 2021","0","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 13:08:58 GMT 2021","Thu Dec 23 13:08:59 GMT 2021","339","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 13:08:54 GMT 2021","Thu Dec 23 13:08:55 GMT 2021","532","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 13:08:49 GMT 2021","Thu Dec 23 13:08:49 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
