"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 12:26:53 GMT 2021","Thu Dec 23 12:26:53 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 12:27:03 GMT 2021","Thu Dec 23 12:27:03 GMT 2021","80","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Thu Dec 23 12:26:52 GMT 2021","Thu Dec 23 12:26:52 GMT 2021","2","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 12:26:59 GMT 2021","Thu Dec 23 12:26:59 GMT 2021","553","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 12:26:58 GMT 2021","Thu Dec 23 12:26:58 GMT 2021","147","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 12:26:54 GMT 2021","Thu Dec 23 12:26:54 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 12:27:03 GMT 2021","Thu Dec 23 12:27:03 GMT 2021","1","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 12:26:54 GMT 2021","Thu Dec 23 12:26:54 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 12:27:00 GMT 2021","Thu Dec 23 12:27:00 GMT 2021","35","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Thu Dec 23 12:26:53 GMT 2021","Thu Dec 23 12:26:53 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 12:27:03 GMT 2021","Thu Dec 23 12:27:03 GMT 2021","26","Regression Suite","Chrome Test","TestHome","TestHome","testJQuery","testJQuery",""
"passed","Thu Dec 23 12:26:54 GMT 2021","Thu Dec 23 12:26:54 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 12:26:55 GMT 2021","Thu Dec 23 12:26:57 GMT 2021","1872","Regression Suite","Chrome Test","TestRest","TestRest","test_delete_user","test_delete_user",""
"passed","Thu Dec 23 12:26:52 GMT 2021","Thu Dec 23 12:26:52 GMT 2021","18","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 12:26:53 GMT 2021","Thu Dec 23 12:26:53 GMT 2021","3","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 12:26:54 GMT 2021","Thu Dec 23 12:26:54 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 12:27:00 GMT 2021","Thu Dec 23 12:27:03 GMT 2021","2432","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Thu Dec 23 12:26:59 GMT 2021","Thu Dec 23 12:27:00 GMT 2021","428","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 12:27:03 GMT 2021","Thu Dec 23 12:27:04 GMT 2021","319","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 12:26:52 GMT 2021","Thu Dec 23 12:26:52 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 12:26:53 GMT 2021","Thu Dec 23 12:26:53 GMT 2021","2","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 12:26:53 GMT 2021","Thu Dec 23 12:26:53 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","test1","test1",""
"passed","Thu Dec 23 12:26:54 GMT 2021","Thu Dec 23 12:26:54 GMT 2021","5","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
