"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","test1","test1",""
"passed","Thu Dec 23 16:30:36 GMT 2021","Thu Dec 23 16:30:37 GMT 2021","344","Regression Suite","Chrome Test","TestRest","TestRest","test_resolve_vars","test_resolve_vars",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","0","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 16:30:40 GMT 2021","Thu Dec 23 16:30:40 GMT 2021","329","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 16:30:36 GMT 2021","Thu Dec 23 16:30:36 GMT 2021","277","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 16:30:36 GMT 2021","Thu Dec 23 16:30:36 GMT 2021","16","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Thu Dec 23 16:30:32 GMT 2021","Thu Dec 23 16:30:32 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 16:30:32 GMT 2021","Thu Dec 23 16:30:32 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 16:30:32 GMT 2021","Thu Dec 23 16:30:32 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","15","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 16:30:36 GMT 2021","Thu Dec 23 16:30:36 GMT 2021","329","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 16:30:32 GMT 2021","Thu Dec 23 16:30:32 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 16:30:36 GMT 2021","Thu Dec 23 16:30:36 GMT 2021","23","Regression Suite","Chrome Test","TestRest","TestRest","test_put_user_object","json-server users",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","0","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","4","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 16:30:40 GMT 2021","Thu Dec 23 16:30:40 GMT 2021","1","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 16:30:32 GMT 2021","Thu Dec 23 16:30:32 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 16:30:37 GMT 2021","Thu Dec 23 16:30:39 GMT 2021","2482","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Thu Dec 23 16:30:31 GMT 2021","Thu Dec 23 16:30:31 GMT 2021","4","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 16:30:33 GMT 2021","Thu Dec 23 16:30:34 GMT 2021","1262","Regression Suite","Chrome Test","TestRest","TestRest","test_delete_user","test_delete_user",""
"passed","Thu Dec 23 16:30:35 GMT 2021","Thu Dec 23 16:30:35 GMT 2021","131","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
