"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 11:42:51 GMT 2021","Thu Dec 23 11:42:51 GMT 2021","120","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 11:42:48 GMT 2021","Thu Dec 23 11:42:50 GMT 2021","1250","Regression Suite","Chrome Test","TestRest","TestRest","test_delete_user","test_delete_user",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","0","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","4","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 11:42:51 GMT 2021","Thu Dec 23 11:42:51 GMT 2021","521","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","5","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 11:42:56 GMT 2021","Thu Dec 23 11:42:56 GMT 2021","354","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 11:42:53 GMT 2021","Thu Dec 23 11:42:53 GMT 2021","439","Regression Suite","Chrome Test","TestRest","TestRest","test_resolve_vars","test_resolve_vars",""
"passed","Thu Dec 23 11:42:56 GMT 2021","Thu Dec 23 11:42:56 GMT 2021","0","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","4","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 11:42:53 GMT 2021","Thu Dec 23 11:42:53 GMT 2021","1","Regression Suite","Chrome Test","TestWait","TestWait","test1","test1",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","0","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 11:42:52 GMT 2021","Thu Dec 23 11:42:53 GMT 2021","423","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 11:42:52 GMT 2021","Thu Dec 23 11:42:52 GMT 2021","323","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 11:42:46 GMT 2021","Thu Dec 23 11:42:46 GMT 2021","17","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 11:42:50 GMT 2021","Thu Dec 23 11:42:51 GMT 2021","887","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 11:42:47 GMT 2021","Thu Dec 23 11:42:47 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
