"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Wed Feb 02 12:02:56 GMT 2022","Wed Feb 02 12:02:57 GMT 2022","492","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Wed Feb 02 12:02:58 GMT 2022","Wed Feb 02 12:02:58 GMT 2022","20","Regression Suite","Chrome Test","TestRest","TestRest","test_put_user_object","json-server users",""
"passed","Wed Feb 02 12:02:59 GMT 2022","Wed Feb 02 12:03:01 GMT 2022","2303","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Wed Feb 02 12:03:01 GMT 2022","Wed Feb 02 12:03:01 GMT 2022","1","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Wed Feb 02 12:03:01 GMT 2022","Wed Feb 02 12:03:02 GMT 2022","348","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Wed Feb 02 12:02:58 GMT 2022","Wed Feb 02 12:02:58 GMT 2022","398","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","test1","test1",""
"passed","Wed Feb 02 12:03:01 GMT 2022","Wed Feb 02 12:03:01 GMT 2022","27","Regression Suite","Chrome Test","TestHome","TestHome","testJQuery","testJQuery",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Wed Feb 02 12:02:57 GMT 2022","Wed Feb 02 12:02:57 GMT 2022","103","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Wed Feb 02 12:02:57 GMT 2022","Wed Feb 02 12:02:57 GMT 2022","383","Regression Suite","Chrome Test","TestRest","TestRest","test_patch_user","test_patch_user",""
"passed","Wed Feb 02 12:02:58 GMT 2022","Wed Feb 02 12:02:58 GMT 2022","18","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","24","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Wed Feb 02 12:02:56 GMT 2022","Wed Feb 02 12:02:56 GMT 2022","277","Regression Suite","Chrome Test","TestRest","TestRest","test_get_method_no_body","json-server users",""
"passed","Wed Feb 02 12:03:01 GMT 2022","Wed Feb 02 12:03:01 GMT 2022","69","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Wed Feb 02 12:02:54 GMT 2022","Wed Feb 02 12:02:56 GMT 2022","1353","Regression Suite","Chrome Test","TestRest","TestRest","test_delete_user","test_delete_user",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Wed Feb 02 12:02:57 GMT 2022","Wed Feb 02 12:02:58 GMT 2022","359","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Wed Feb 02 12:02:58 GMT 2022","Wed Feb 02 12:02:59 GMT 2022","371","Regression Suite","Chrome Test","TestRest","TestRest","test_resolve_vars","test_resolve_vars",""
"passed","Wed Feb 02 12:02:56 GMT 2022","Wed Feb 02 12:02:56 GMT 2022","534","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Wed Feb 02 12:02:59 GMT 2022","Wed Feb 02 12:02:59 GMT 2022","1","Regression Suite","Chrome Test","TestWait","TestWait","test1","test1",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Wed Feb 02 12:02:53 GMT 2022","Wed Feb 02 12:02:53 GMT 2022","2","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
