"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 17:50:41 GMT 2021","Thu Dec 23 17:50:41 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 17:50:40 GMT 2021","Thu Dec 23 17:50:40 GMT 2021","0","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 17:50:45 GMT 2021","Thu Dec 23 17:50:45 GMT 2021","436","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 17:50:43 GMT 2021","Thu Dec 23 17:50:44 GMT 2021","477","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 17:50:40 GMT 2021","Thu Dec 23 17:50:40 GMT 2021","1","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 17:50:49 GMT 2021","Thu Dec 23 17:50:49 GMT 2021","70","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Thu Dec 23 17:50:49 GMT 2021","Thu Dec 23 17:50:49 GMT 2021","0","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 17:50:41 GMT 2021","Thu Dec 23 17:50:41 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 17:50:41 GMT 2021","Thu Dec 23 17:50:41 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Thu Dec 23 17:50:41 GMT 2021","Thu Dec 23 17:50:41 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 17:50:43 GMT 2021","Thu Dec 23 17:50:43 GMT 2021","197","Regression Suite","Chrome Test","TestRest","TestRest","test_get_method_no_body","json-server users",""
