"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 12:42:57 GMT 2021","Thu Dec 23 12:42:58 GMT 2021","488","Regression Suite","Chrome Test","TestRest","TestRest","test_resolve_vars","test_resolve_vars",""
"passed","Thu Dec 23 12:42:55 GMT 2021","Thu Dec 23 12:42:56 GMT 2021","521","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Thu Dec 23 12:42:54 GMT 2021","Thu Dec 23 12:42:55 GMT 2021","983","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 12:42:51 GMT 2021","Thu Dec 23 12:42:51 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 12:42:56 GMT 2021","Thu Dec 23 12:42:56 GMT 2021","105","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 12:43:00 GMT 2021","Thu Dec 23 12:43:01 GMT 2021","27","Regression Suite","Chrome Test","TestHome","TestHome","testJQuery","testJQuery",""
"passed","Thu Dec 23 12:42:51 GMT 2021","Thu Dec 23 12:42:51 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 12:42:56 GMT 2021","Thu Dec 23 12:42:57 GMT 2021","299","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 12:42:57 GMT 2021","Thu Dec 23 12:42:57 GMT 2021","22","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Thu Dec 23 12:42:51 GMT 2021","Thu Dec 23 12:42:51 GMT 2021","0","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 12:42:57 GMT 2021","Thu Dec 23 12:42:57 GMT 2021","502","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
